,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('recuperado', 'susceptible', 'trabajo', False)",1,81,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,81,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,82,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,82,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,82,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,83,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,83,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,83,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,84,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,84,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,84,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,85,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,85,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,85,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,86,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,86,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,86,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,87,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,87,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,87,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,88,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,88,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,88,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,89,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,89,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,89,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,90,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,90,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,90,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,91,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,91,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,91,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,92,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,92,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,92,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,93,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,93,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,93,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,94,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,94,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,94,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,95,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,95,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,95,0,susceptible,susceptible,trabajo,False
