,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",39,88,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,88,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,89,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,89,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,89,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,90,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,90,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,90,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,91,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,91,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,91,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,92,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,92,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,92,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,93,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,93,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,93,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,94,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,94,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,94,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,95,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,95,0,susceptible,susceptible,trabajo,False
